,Category,Hpapun,Hpruso,Loikaw,Taungoo
Better Rice (1 kg),Essential Food Items,1300.0,,1600.0,1600.0
Cheaper Rice (1 kg),Essential Food Items,625.0,,750.0,800.0
Palm Oil (1 liter),Essential Food Items,1900.0,,3800.0,3300.0
Pulse (1 viss),Essential Food Items,3100.0,4000.0,3300.0,3500.0
Garlic (1 viss),Vegetables,3500.0,3500.0,2500.0,3200.0
Onion (1 viss),Vegetables,1200.0,1200.0,700.0,950.0
Eggplant (1 viss),Vegetables,2000.0,,1500.0,1200.0
Long Bean (1 viss),Vegetables,1500.0,,2000.0,1200.0
Watercress (1 viss),Vegetables,,5000.0,2000.0,1000.0
Green Chili (1 viss),Vegetables,2500.0,2250.0,2000.0,5000.0
Toothpaste (140g),Hygiene,925.0,500.0,1000.0,1000.0
Detergent (400g),Hygiene,1450.0,2500.0,1000.0,1900.0
Soap (60g),Hygiene,500.0,500.0,500.0,800.0
Sanitary Pad (10 pc),Hygiene,1100.0,600.0,600.0,
Shrimp (1 viss),Meat / Fish,8000.0,,9000.0,8500.0
Fresh Fish (1 viss),Meat / Fish,4000.0,6000.0,5000.0,9000.0
Dried Fish (1 viss),Meat / Fish,12500.0,9000.0,12000.0,9000.0
Ar Bae Kyauk (1 viss),Meat / Fish,12000.0,16000.0,12000.0,12000.0
Chicken (1 viss),Meat / Fish,8000.0,7000.0,6500.0,5000.0
Charcoal (1 viss),NFIs,375.0,,500.0,450.0
Cooking Pot (4 cans),NFIs,5500.0,6500.0,4500.0,5000.0
Blanket,NFIs,5500.0,10000.0,5750.0,8000.0
Mosquito Net,NFIs,13500.0,,15000.0,23000.0
Plastic Tarpaulin,NFIs,16500.0,15000.0,16000.0,15000.0
Men's Longyi,NFIs,4500.0,,4900.0,5000.0
Women's Longyi,NFIs,5500.0,,5000.0,5000.0
Umbrella,NFIs,3500.0,4250.0,,4500.0
Towel,NFIs,3500.0,2500.0,2500.0,1200.0
Vacuum Flask,NFIs,12000.0,8500.0,,8000.0
Jerry Can,NFIs,3500.0,5300.0,4500.0,4500.0
