,Category,Hpapun,Kawkareik,Taungoo
Better Rice (1 kg),Essential Food Items,"1,250","1,500","1,500"
Cheaper Rice (1 kg),Essential Food Items,650,700,600
Palm Oil (1 liter),Essential Food Items,"4,300","4,500","4,300"
Pulse (1 viss),Essential Food Items,"3,500","3,500","3,200"
Garlic (1 viss),Vegetables,"4,500","3,800","4,000"
Onion (1 viss),Vegetables,"1,300","1,300","1,000"
Eggplant (1 viss),Vegetables,"2,500","2,000",700
Long Bean (1 viss),Vegetables,"3,500","2,500","1,500"
Watercress (1 viss),Vegetables,"2,000","1,500","1,200"
Green Chili (1 viss),Vegetables,"2,000","2,000","5,000"
Bananas,Vegetables,"1,500","2,000","1,000"
Toothpaste (140g),Hygiene,"1,200",500,"1,000"
Detergent (400g),Hygiene,"1,300",900,800
Soap (60g),Hygiene,500,400,800
Sanitary Pad (10 pc),Hygiene,"1,000",800,800
Shrimp (1 viss),Meat / Fish,nan,"13,000","12,000"
Fresh Fish (1 viss),Meat / Fish,"6,000","5,000","6,000"
Dried Fish (1 viss),Meat / Fish,"13,000","9,500","9,000"
Ar Bae Kyauk (1 viss),Meat / Fish,"12,000","12,000","9,000"
Chicken (1 viss),Meat / Fish,"10,000","7,500","8,500"
Fish Paste (1 viss),Meat / Fish,"3,500","5,000","3,000"
Pork (1 viss),Meat / Fish,"10,000","10,000","12,000"
Charcoal (1 viss),NFIs,435,"1,000",600
Cooking Pot (4 cans),NFIs,"6,000","9,000","12,000"
Blanket,NFIs,"5,500","7,000","6,000"
Mosquito Net,NFIs,"12,500","9,500","15,000"
Plastic Tarpaulin,NFIs,"21,500","17,000","13,000"
Men's Longyi,NFIs,"5,750","6,000","5,000"
Women's Longyi,NFIs,"6,000","5,500","5,000"
Umbrella,NFIs,"3,500","4,500","5,000"
Towel,NFIs,"5,000","2,500","1,500"
Vacuum Flask,NFIs,"16,000","16,000","10,000"
Jerry Can,NFIs,"6,500","7,500","6,000"
