,Category,Kawkareik,Loikaw,Taungoo
Better Rice (1 kg),Essential Food Items,"1,500","1,500","1,600"
Cheaper Rice (1 kg),Essential Food Items,700,"1,400",650
Palm Oil (1 liter),Essential Food Items,"4,500","4,500","4,600"
Pulse (1 viss),Essential Food Items,"3,500","3,500","3,200"
Garlic (1 viss),Vegetables,"3,500","3,000","4,100"
Onion (1 viss),Vegetables,"1,500","1,200",900
Eggplant (1 viss),Vegetables,"2,000","1,900",800
Long Bean (1 viss),Vegetables,"2,500","4,500","1,500"
Watercress (1 viss),Vegetables,"1,500",nan,"1,600"
Green Chili (1 viss),Vegetables,"1,500","7,000","4,800"
Bananas,Vegetables,"1,500",800,"1,500"
Toothpaste (140g),Hygiene,500,"1,200","1,200"
Detergent (400g),Hygiene,900,900,900
Soap (60g),Hygiene,400,575,800
Sanitary Pad (10 pc),Hygiene,"1,000",700,850
Shrimp (1 viss),Meat / Fish,"12,500","6,000","11,000"
Fresh Fish (1 viss),Meat / Fish,"5,000","6,000","6,000"
Dried Fish (1 viss),Meat / Fish,"9,500","10,250","10,000"
Ar Bae Kyauk (1 viss),Meat / Fish,"12,000","13,750","14,000"
Chicken (1 viss),Meat / Fish,"7,500","7,500","6,500"
Fish Paste (1 viss),Meat / Fish,"5,000","6,000","4,000"
Pork (1 viss),Meat / Fish,"13,000","14,000","12,000"
Charcoal (1 viss),NFIs,800,"1,000",700
Cooking Pot (4 cans),NFIs,"9,000",nan,"8,000"
Blanket,NFIs,"6,000","5,250","8,500"
Mosquito Net,NFIs,"9,500","12,500","25,000"
Plastic Tarpaulin,NFIs,"17,000","14,000","13,000"
Men's Longyi,NFIs,"6,000","5,800","6,000"
Women's Longyi,NFIs,"5,500","5,250","6,000"
Umbrella,NFIs,"4,500","5,000","5,000"
Towel,NFIs,"2,500","2,000","1,400"
Vacuum Flask,NFIs,"16,000",nan,"12,000"
Jerry Can,NFIs,"7,500",nan,"6,500"
