state_region_name,state_region_pcode,township_pcode,all_area_sowed_mali,all_areas_harvested_mali,all_harvested_net_margin_usd,pc_paddy,crop_type,acres,pc_total
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,paddy,27042,0.6792253786451662
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,other,9647,0.24230778891316906
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,sesame,2549,0.06402431366639037
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,ground_nut,198,0.004973249943485796
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,other,0,0
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,other,0,0
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,other,1,2.511742395699897e-5
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,green_gram,54,0.0013563408936779443
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,pigeon_pea,256,0.006430060532991736
Kachin,MMR001,MMR001001,39813,39813,5109749.235978292,0.6792253786451662,urad_pea,66,0.0016577499811619321
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,paddy,48215,0.6252026089549917
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,other,24475,0.3173666670988991
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,sesame,4419,0.05730105421491461
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,ground_nut,0,0
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,other,0,0
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,other,0,0
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,other,9,1.1670275807518251e-4
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,green_gram,0,0
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,pigeon_pea,1,1.2966973119464723e-5
Kachin,MMR001,MMR001002,77119,77119,11145959.525560291,0.6252026089549917,urad_pea,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,paddy,4418,0.9954934655250113
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,other,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,sesame,20,0.004506534474988734
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,ground_nut,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,other,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,other,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,other,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,green_gram,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,pigeon_pea,0,0
Kachin,MMR001,MMR001003,4438,4438,300973.78926043585,0.9954934655250113,urad_pea,0,0
