date,market,Eggs (local),Tomatoes (local),duplicate
2020-07-15,Tedim Municipal Market,1250,1250,TRUE
2020-07-15,Tonzang,1430,1430,TRUE
2020-07-15,Hakha Myoma Market,1250,1250,TRUE
2020-07-15,Raldunn Market,1250,1250,TRUE
2020-07-15,Matupi,1250,1250,TRUE
2020-07-15,Paletwa Myoma Market,2500,2500,TRUE
2020-07-15,Sanbaung,1250,1250,TRUE
2020-07-15,Kanpetlet,1250,1250,TRUE
2020-07-15,Mindat Myoma Market,1000,1000,TRUE
2020-07-15,Loijie,1100,1100,TRUE
2020-07-15,Man Wein Gyi,1000,1000,TRUE
2020-07-15,Mansi,1125,1125,TRUE
2020-07-15,Momauk,1200,1200,TRUE
2020-07-15,Hpakant Market,1340,1340,TRUE
2020-07-15,Mogaung Market,900,900,TRUE
2020-07-15,Chipwi Market,1000,1000,TRUE
2020-07-15,Sadung,1000,1000,TRUE
2020-07-15,Sanpya ward,1200,1200,TRUE
2020-07-15,Tanai Market,1000,1000,TRUE
2020-07-15,Waingmaw,900,900,TRUE
2020-07-15,Hpasaung,1150,1150,TRUE
2020-07-15,Shadaw,1220,1220,TRUE
2020-07-15,Thiri Mingalar Market,1050,1050,TRUE
2020-07-15,Hlaing Bwe Myo Ma market,1225,1225,TRUE
2020-07-15,Yae Baw Market,1225,1225,TRUE
2020-07-15,KawKareik Myo Ma Market,1275,1275,TRUE
2020-07-15,Ba Yint Naung,1266.67,1266.67,TRUE
2020-07-15,Kanthar,1200,1200,TRUE
2020-07-15,Minbu Myo Ma Market,1200,1200,TRUE
2020-07-15,Pakokku Myo Ma Market,1050,1050,TRUE
2020-07-15,Mya Thida,1200,1200,TRUE
2020-07-15,Shwe Hin Tar,1200,1200,TRUE
2020-07-15,TBZY Myo Ma Zay,1200,1200,TRUE
2020-07-15,Zay Cho,1200,1200,TRUE
2020-07-15,Bilin Myo Ma Market,1200,1200,TRUE
2020-07-15,Thaton Myo Ma Zay,1200,1200,TRUE
2020-07-15,Kyauk Ta Lone,1275,1275,TRUE
2020-07-15,Buthidaung,1434,1434,TRUE
2020-07-15,Ka Nyin Tan,1483.33,1483.33,TRUE
2020-07-15,Nyaung Chung,1500,1500,TRUE
2020-07-15,Kin Seik,1250,1250,TRUE
2020-07-15,Laung Kyet,1500,1500,TRUE
2020-07-15,Myebon Main,1500,1500,TRUE
2020-07-15,Paung Toke,1500,1500,TRUE
2020-07-15,Ah Nauk Pyin,1566.67,1566.67,TRUE
2020-07-15,Kyaukpyu Main,1200,1200,TRUE
2020-07-15,Kyein Ni Pyin,1428,1428,TRUE
2020-07-15,Nyaung Pin Gyi,2000,2000,TRUE
2020-07-15,Rathedaung,1200,1200,TRUE
2020-07-15,Sin Tet Maw,1633.5,1633.5,TRUE
2020-07-15,Thae Chaung,1225,1225,TRUE
2020-07-15,Thet Kay Pyin,1339,1339,TRUE
2020-07-15,Lahe,1650,1650,TRUE
2020-07-15,Mingalar market,1200,1200,TRUE
2020-07-15,Municipal,1000,1000,TRUE
2020-07-15,Myoma,1500,1500,TRUE
2020-07-15,Mong Pawk,2000,2000,TRUE
2020-07-15,Lin Haw,1393,1393,TRUE
2020-07-15,Galeng,1200,1200,TRUE
2020-07-15,Lashio Market,1000,1000,TRUE
2020-07-15,Laukkaing,1600,1600,TRUE
2020-07-15,Dein Aw,2000,2000,TRUE
2020-07-15,Nawng Hkit,1393,1393,TRUE
2020-07-15,Kutkai,1100,1100,TRUE
2020-07-15,Mong See,1000,1000,TRUE
2020-07-15,Namhkam Market,1000,1000,TRUE
2020-07-15,Kan Nar Market,1220,1220,TRUE
2020-07-15,Yebyu Market,1216.67,1216.67,TRUE
2020-08-15,Tedim Municipal Market,1250,1250,TRUE
2020-08-15,Tonzang,1370,1370,TRUE
2020-08-15,Hakha Myoma Market,1250,1250,TRUE
2020-08-15,Raldunn Market,1250,1250,TRUE
2020-08-15,Matupi,1250,1250,TRUE
2020-08-15,Paletwa Myoma Market,2500,2500,TRUE
2020-08-15,Sanbaung,1250,1250,TRUE
2020-08-15,Kanpetlet,1250,1250,TRUE
2020-08-15,Mindat Myoma Market,1000,1000,TRUE
2020-08-15,Bhamo Market,1250,1250,TRUE
2020-08-15,Man Wein Gyi,1300,1300,TRUE
2020-08-15,Mansi,1250,1250,TRUE
2020-08-15,Momauk,1200,1200,TRUE
2020-08-15,Hpakant Market,1340,1340,TRUE
2020-08-15,Sadung,1287.5,1287.5,TRUE
