,Category,Hpapun,Loikaw,Taungoo
Better Rice (1 kg),Essential Food Items,1450.0,1250.0,1500.0
Cheaper Rice (1 kg),Essential Food Items,550.0,800.0,700.0
Palm Oil (1 liter),Essential Food Items,3000.0,3500.0,2100.0
Pulse (1 viss),Essential Food Items,3000.0,3500.0,3200.0
Garlic (1 viss),Vegetables,3500.0,3000.0,3000.0
Onion (1 viss),Vegetables,600.0,1000.0,500.0
Eggplant (1 viss),Vegetables,2350.0,2000.0,1100.0
Long Bean (1 viss),Vegetables,1300.0,2800.0,1200.0
Watercress (1 viss),Vegetables,1000.0,1000.0,1000.0
Green Chili (1 viss),Vegetables,5000.0,2000.0,4500.0
Toothpaste (140g),Hygiene,1000.0,1000.0,1000.0
Detergent (400g),Hygiene,2200.0,950.0,1800.0
Soap (60g),Hygiene,500.0,900.0,800.0
Sanitary Pad (10 pc),Hygiene,900.0,700.0,900.0
Shrimp (1 viss),Meat / Fish,8000.0,7500.0,8000.0
Fresh Fish (1 viss),Meat / Fish,4500.0,7000.0,8000.0
Dried Fish (1 viss),Meat / Fish,12000.0,12000.0,8500.0
Ar Bae Kyauk (1 viss),Meat / Fish,10000.0,15000.0,11000.0
Chicken (1 viss),Meat / Fish,8000.0,7000.0,5500.0
Charcoal (1 viss),NFIs,450.0,500.0,500.0
Cooking Pot (4 cans),NFIs,4450.0,5500.0,4500.0
Blanket,NFIs,6000.0,5000.0,6000.0
Mosquito Net,NFIs,12500.0,14500.0,9000.0
Plastic Tarpaulin,NFIs,21000.0,16000.0,12000.0
Men's Longyi,NFIs,5750.0,5000.0,5000.0
Women's Longyi,NFIs,6000.0,5800.0,4500.0
Umbrella,NFIs,3500.0,4650.0,4000.0
Towel,NFIs,4500.0,2000.0,1500.0
Vacuum Flask,NFIs,16000.0,12000.0,8000.0
Jerry Can,NFIs,5000.0,4500.0,4500.0
