date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2008-01-15,Kachin,Myitkyina,Wai Maw,25.34222,97.44001,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,400.0,0.2165
2008-01-15,Kachin,Myitkyina,Wai Maw,25.34222,97.44001,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,MMK,3636.36,1.968
2008-01-15,Kachin,Myitkyina,Wai Maw,25.34222,97.44001,"meat, fish and eggs",Meat (pork),KG,actual,Retail,MMK,3636.36,1.968
2008-01-15,Kachin,Myitkyina,Wai Maw,25.34222,97.44001,miscellaneous food,Salt,KG,actual,Retail,MMK,242.42,0.1312
2008-01-15,Kachin,Myitkyina,Wai Maw,25.34222,97.44001,vegetables and fruits,Onions,KG,actual,Retail,MMK,969.7,0.5248
2008-01-15,Kachin,Myitkyina,Wai Maw,25.34222,97.44001,vegetables and fruits,Tomatoes,KG,actual,Retail,MMK,484.85,0.2624
2008-01-15,Magway,Magway,Magway,20.15,94.9166667,cereals and tubers,Potatoes,KG,actual,Retail,MMK,242.42,0.1312
2008-01-15,Magway,Magway,Magway,20.15,94.9166667,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,604.17,0.327
2008-01-15,Magway,Magway,Magway,20.15,94.9166667,vegetables and fruits,Tomatoes,KG,actual,Retail,MMK,181.82,0.0984
2008-01-15,Magway,Magway,Yenanchaung,20.45942,94.871,cereals and tubers,Potatoes,KG,actual,Retail,MMK,363.64,0.1968
2008-01-15,Magway,Magway,Yenanchaung,20.45942,94.871,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,900.0,0.4871
2008-01-15,Magway,Pakokku,Pakhangyi,21.53711,95.20402,cereals and tubers,Potatoes,KG,actual,Retail,MMK,484.85,0.2624
2008-01-15,Magway,Pakokku,Pakhangyi,21.53711,95.20402,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,541.67,0.2931
2008-01-15,Magway,Pakokku,Pakhangyi,21.53711,95.20402,vegetables and fruits,Tomatoes,KG,actual,Retail,MMK,242.42,0.1312
2008-01-15,Rakhine,Maungdaw,Alel Than Kyaw,20.68022,92.443343,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,460.0,0.2489
2008-01-15,Rakhine,Maungdaw,Alel Than Kyaw,20.68022,92.443343,oil and fats,Oil (palm),L,actual,Retail,MMK,2000.0,1.0824
2008-01-15,Rakhine,Maungdaw,Alel Than Kyaw,20.68022,92.443343,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,650.0,0.3518
2008-01-15,Rakhine,Maungdaw,Buthidaung,20.8700009999999,92.5274509999999,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,400.0,0.2165
2008-01-15,Rakhine,Maungdaw,Buthidaung,20.8700009999999,92.5274509999999,oil and fats,Oil (palm),L,actual,Retail,MMK,2000.0,1.0824
2008-01-15,Rakhine,Maungdaw,Buthidaung,20.8700009999999,92.5274509999999,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,600.0,0.3247
2008-01-15,Rakhine,Maungdaw,Kyein Chung,21.087561,92.339241,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,500.0,0.2706
2008-01-15,Rakhine,Maungdaw,Kyein Chung,21.087561,92.339241,oil and fats,Oil (palm),L,actual,Retail,MMK,2000.0,1.0824
2008-01-15,Rakhine,Maungdaw,Kyein Chung,21.087561,92.339241,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,500.0,0.2706
2008-01-15,Rakhine,Maungdaw,Maungdaw,20.82112,92.37133,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,450.0,0.2435
2008-01-15,Rakhine,Maungdaw,Maungdaw,20.82112,92.37133,oil and fats,Oil (palm),L,actual,Retail,MMK,1950.0,1.0553
2008-01-15,Rakhine,Maungdaw,Maungdaw,20.82112,92.37133,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,570.0,0.3085
2008-01-15,Rakhine,Maungdaw,Myin Hlut,20.614149,92.515717,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,450.0,0.2435
2008-01-15,Rakhine,Maungdaw,Myin Hlut,20.614149,92.515717,oil and fats,Oil (palm),L,actual,Retail,MMK,1600.0,0.8659
2008-01-15,Rakhine,Maungdaw,Myin Hlut,20.614149,92.515717,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,450.0,0.2435
2008-01-15,Rakhine,Maungdaw,Nyaung Chung,20.809099,92.398293,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,370.0,0.2002
2008-01-15,Rakhine,Maungdaw,Nyaung Chung,20.809099,92.398293,oil and fats,Oil (palm),L,actual,Retail,MMK,2000.0,1.0824
2008-01-15,Rakhine,Maungdaw,Nyaung Chung,20.809099,92.398293,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,600.0,0.3247
2008-01-15,Rakhine,Maungdaw,Taung Bazzar,21.00514,92.507,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,400.0,0.2165
2008-01-15,Rakhine,Maungdaw,Taung Bazzar,21.00514,92.507,oil and fats,Oil (palm),L,actual,Retail,MMK,2000.0,1.0824
2008-01-15,Rakhine,Maungdaw,Taung Bazzar,21.00514,92.507,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,600.0,0.3247
2008-01-15,Rakhine,Maungdaw,Taung Pyo Let Wai,21.2,92.2,cereals and tubers,Rice (low quality),KG,actual,Retail,MMK,500.0,0.2706
2008-01-15,Rakhine,Maungdaw,Taung Pyo Let Wai,21.2,92.2,oil and fats,Oil (palm),L,actual,Retail,MMK,1600.0,0.8659
2008-01-15,Rakhine,Maungdaw,Taung Pyo Let Wai,21.2,92.2,pulses and nuts,Chickpeas (local),KG,actual,Retail,MMK,500.0,0.2706
